sample_type_sd,assembly_count
feces/stool,340874
blood,119297
gut content,91342
urine,68685
cell culture,56169
sterile body site,46778
chicken meat,44568
sputum,35588
clinical sample,33522
nasopharynx/oropharynx,31643
environmental sample,30061
rectal swab,26828
chicken carcass,25723
food,24838
culture,21316
beef,15327
pork,15029
hot spring,14795
turkey meat,14059
tissue,14011
sewage,13392
poultry meat,12496
single cell,11890
groundwater,11540
microbial isolate,11496
respiratory sample,10983
bodily fluid,10562
river,8277
milk,8043
laboratory,8034
cerebrospinal fluid,6204
nasal swab,5989
farm,5658
swab,5503
bacterial culture,5496
stream,5417
pure/single culture,5295
meat product,5228
mixed culture,4811
dairy food,4642
estuary,4560
anaerobic digester,4506
bronchoalveolar lavage fluid,4500
perianal/anal swab,4462
drainage,4174
rhizosphere,4042
manure,4020
abscess,3995
cold seep,3866
sponge,3554
pond,3455
sludge,2960
deep-sea hydrothermal deposit,2894
broiler,2752
pus,2592
tracheal aspirate/secretion,2586
gastric biopsy,2571
aspirate,2528
wound swab,2401
seafood,2338
fecal/stool swab,2278
root,2234
catheter,2137
enrichment culture,1967
clinical material,1956
secretion,1917
DNA extract,1805
spore release material,1793
cave biofilm,1716
food processing environment,1570
drain,1546
skin/body-surface swab,1517
sink,1515
cloacal swab,1483
biopsy,1468
nodule,1461
surveillance swab,1402
skin swab,1333
food product,1330
saline water,1316
saliva,1311
ice core section from central arctic ocean,1201
hospital wastewater,1185
bloodstream,1123
bile,1119
oral/oropharyngeal swab,1069
core,1051
dairy farm,1042
environmental swab,1025
pleural fluid,1019
microbial culture,958
rectovaginal site,933
hospital sewage,913
salmon,890
terrestrial environment,848
long-term care facility,843
leaves,820
lettuce,797
surface layer,797
food/animal-production swab,794
produced fluids from hydraulically fractured shales,782
vegetable,780
glacier,736
vaginal swab,736
anaerobic bioreactor effluent,688
urogenital swab,669
ground chicken,667
gill,665
ear swab,658
oropharyngeal/throat swab,657
air,648
spinach,638
pet food,628
ice cream,605
potato,596
wood,582
fermented food/beverage,579
deciduous forest,570
cucumber,544
cloacal sample,533
enoki mushroom,522
kratom,520
ready-to-eat product,497
cubital fossa,487
tomato,472
bronchial wash/lavage,456
dairy product,450
rectal/cloacal/perianal swab,437
avocado,429
dental plaque,423
ascites,417
intestinal epithelial cells,411
cantaloupe,395
prawn product,385
fluff/lint material,384
trap sample,378
wildlife,371
cilantro,340
wound/skin/pus swab,320
FFPE tissue,319
papaya,315
nasopharyngeal swab,308
peanut butter,290
colon contents,280
respiratory swab,273
endovascular,271
leafy greens,268
tree nut,268
eye swab,264
oral swab,263
wound/lesion/abscess swab,263
shrimp product,211
catfish product,200
ready-to-eat food,179
fermented food,156
rectal/perianal swab,153
blood-derived material,129
kimchi,122
cleanroom floor,121
milk powder,119
internal-site swab,117
clinical swab,109
plant tissue,86
tracheal aspirate,82
fish product,77
probiotic product,77
grain product,72
unicyanobacterial culture,61
assembly,50
screening culture,47
oyster product,41
biological product,36
bootsock/environmental swab,33
teat/nipple swab,32
plate culture,27
fermented milk/dairy product,25
food-contact surface,25
laboratory culture,22
liquid culture,19
clone culture,14
urogenital/reproductive swab,13
non-food-contact surface,12
transport swab,4
feed/fodder,3
meat,3
freshwater fish product,2
shellfish product,2
wound/pus swab,2
plant material,1
urethral swab,1
