count,host_original
11,Antho dichotoma
4,saffron finche
4,D. marginatus
3,Perognathus penicillatus
3,Carpobrotus rossii
3,Oryctes gigas
3,"Crasosstrea spp., Farfantepenaeus spp."
3,Trididemnum orbiculatum
3,lilac
3,Discodermia calyx
2,Beilhmielda manni
2,seabass
2,Sugar cane
2,Dercitus (Stoeba) latex
2,Aphidus ervi
2,horsechestnut
2,Hazel
2,Diestrammena coreana
2,rhodolith
2,zoanthid Palythoa caribaeorum
2,Bombax costatum
2,black gobi
2,Averhoa belimbi
2,bracket mold
2,Lasioglossum apopkense
2,Neopsylla setosa
2,Capsella sp.
2,B. oleracea var. rubra
2,E. vesicaria ssp. sativa
2,Suidae sp. LYD
2,Nasonia sp. VxG hybrid
2,Stichoplastoris elusinus
2,Olallieberry
2,Sainfoin
2,Crabapple
2,Caraganae sp.
2,Ocimum lamiifolium
2,Allomyria dichotoma
2,wangyaru
2,grasses
2,marine ciliate
2,Haliclonissa verrucosa (sponge)
2,Lissodendoryx nobilis
2,Anoxycalyx joubini
2,Hyacint
2,Siphamia cephalotes
2,N. makaihe
2,N. ponapona
2,N. sp. 246
2,N. kanawao
2,N. sp. 15
2,N. sp. 48
2,N. sp. 242
2,N. sp. 58
2,N. sp. 21
2,N. sp. 17
2,N. sp. 126
2,N. sp. 29
2,N. sp. 23
2,N. haleakala
2,N. sp. 281
2,N. sp. 302
2,N. ogradyi
2,N. sp. 295
2,Q. agrifolia x Q. wislizeni
2,Picochlorum sp. 122
2,Amphilectus digitatus
2,Jiuqu
2,B. minor
1,toucan
1,Partridge
1,eared grebe
1,Pelicanus rufescens
1,Others -Heterodon platrhinos
1,cetacean
1,Otis tarde
1,anatine
1,Focha andina
1,weever
1,Hawk
1,Soy
1,Agamid
1,opposum
1,Lampine
1,albatros
1,waterbird
1,Basunti mas
1,Tinamu major
1,Lyonycteris spurrelli
1,Buffonidae sp
1,Sula nebouxi
1,Marmosa camescens
1,South american tapirus terrestris
1,night heron
1,capercailie grouse
1,stork
1,heron
1,macaw
1,Abyssinian ground hornbill
1,soldier
1,slender-horned gazella
1,Cockatoo sp.
1,House martin
1,Dunnock
1,Superb Starling
1,Garlic bolt
1,Pakchoi
1,White-Breasted Nuthatch
1,Hainan
1,Sichuan
1,Shanxi
1,wood-wren
1,Bluefox
1,Neonates
1,Epalzeothynchos frenatum
1,wild rabbits
1,"Bootsock, Great Harewood"
1,snipe
1,Red tailed hawk
1,White radish
1,Weever
1,marter
1,partridge
1,Cloudrat
1,GuineaPig
1,Desmodium pulchellum
1,roe buck
1,wild chukar
1,Maoctra Veneriformis
1,Anopheline albitarsis
1,straw
1,Padding
1,Lemuroidea
1,sprouted soy
1,gander
1,red cocoyam
1,Sangiovese
1,Ortrugo
1,olive
1,Geophilidae_myriapod
1,swallow
1,olive knot (Olea europaea)
1,hime-yuzuriha
1,Persicae
1,ciliate
1,Mullberry
1,Barberry
1,Chinese chive
1,Rapeseed
1,reed
1,nature
1,Landolita
1,Winterberry holly
1,ferr living
1,Phyton sp.
