metric,value
files_scanned,5066
rows_scanned,2598486
file_errors,0
missing_required_column_file_hits,0
host_original_present,1568720
host_sd_present,1560411
host_taxid_present,1559629
host_taxid_percent,60.02
host_context_recovered_rows,159735
host_review_needed_rows,782
source_like_mapped_host_rows_for_review,18150
source_like_unmapped_host_rows_for_review,4442
sample_type_sd_present,1312914
sample_type_sd_percent,50.53
invalid_sample_type_host_term_rows,0
isolation_source_sd_present,1488599
isolation_source_sd_percent,57.29
environment_medium_sd_present,204173
environment_medium_sd_percent,7.86
country_present,2263560
country_percent,87.11
continent_present,2263560
subcontinent_present,2263560
non_country_values_in_country_rows,0
country_continent_mismatch_rows,0
country_subcontinent_mismatch_rows,0
collection_year_present,2170236
collection_year_percent,83.52
