count,environment_medium_sd
39206,soil
30749,air
22865,wastewater
15153,water
12701,sediment
9335,seawater
6173,freshwater
6004,marine
5407,dairy food
4183,plant tissue
4140,river water
3919,manure
3766,environmental material
3013,sewage
2248,biofilm
2203,culture medium
2197,activated sludge
2116,estuarine water
2037,laboratory
1926,groundwater
1821,environmental water
1805,lake water
1445,surface water
1445,hospital wastewater
1341,marine sediment
1154,tidal flat sediment
1027,healthcare facility
990,pond water
959,sludge
912,hospital sewage
874,hot spring water
815,built-environment water
794,biological product
792,environmental sample
787,leachate
741,canal water
683,sea ice
616,biological waste material
450,drinking/distribution water
447,subsurface shale
415,spring water
410,glacier
384,built environment surface
377,dust
345,compost
311,water column
290,natural/free-living
255,brackish water
255,saline/brine water
242,irrigation water
225,chemically distinct water
215,agricultural/aquaculture water
179,cryoconite
146,metadata descriptor/non-source
106,surface/open water
101,geologic/produced water
94,produced water
89,agricultural/food-production water
86,Oyster pond
76,mud/sediment
51,drainage/runoff water
42,salt marsh sediment
29,domestic wastewater
27,mine water
23,food-processing water
22,cave/cryoconite water
21,pond sediment
20,ice water
14,drainage water
11,wastewater/sewage treatment plant
8,running water
6,land crag
6,water/sediment mixture
4,aquarium/aquaculture water
3,landfill/leachate water
3,retting water
2,mine tailings
1,healthcare facility surface
1,river sediment
1,microplastic/plastic
