raw_value,reviewer_decision,reason,notes
oyster,manual_review,Aquatic animal/common food word without food/product wording; do not force food source.,No deterministic rule added in Batch 5.
fish,manual_review,Host/aquatic animal/food ambiguous without food context.,No deterministic rule added in Batch 5.
shellfish,manual_review,Seafood or aquatic animal ambiguous without product/food wording.,No deterministic rule added in Batch 5.
shrimp,manual_review,Seafood or aquatic animal ambiguous without product/food wording.,No deterministic rule added in Batch 5.
egg,manual_review,Food/sample/reproductive context ambiguous without product wording.,No deterministic rule added in Batch 5.
lettuce,manual_review,Plant/produce ambiguous without food/produce wording.,No deterministic rule added in Batch 5.
spinach,manual_review,Plant/produce ambiguous without food/produce wording.,No deterministic rule added in Batch 5.
tomato,manual_review,Plant/produce ambiguous without food/produce wording.,No deterministic rule added in Batch 5.
vegetable,manual_review,Generic plant/food term ambiguous without food context.,No deterministic rule added in Batch 5.
chicken,manual_review,Animal name alone; do not force food.,No deterministic rule added in Batch 5.
turkey,manual_review,Animal name alone; do not force food.,No deterministic rule added in Batch 5.
cattle,manual_review,Animal name alone; do not force food.,No deterministic rule added in Batch 5.
cow,manual_review,Animal name alone; do not force food.,No deterministic rule added in Batch 5.
swine,manual_review,Animal name alone; do not force food.,No deterministic rule added in Batch 5.
pig,manual_review,Animal name alone; do not force food.,No deterministic rule added in Batch 5.
farm,manual_review,Ambiguous agricultural context; bare term not forced.,No deterministic rule added in Batch 5.
market,manual_review,Ambiguous retail/location context; bare term not forced.,No deterministic rule added in Batch 5.
fish gut,manual_review,Food/host anatomy ambiguous; protected from clinical anatomy.,No deterministic rule added in Batch 5.
oyster tissue,manual_review,Seafood/host tissue ambiguous; protected from clinical anatomy.,No deterministic rule added in Batch 5.
