metric,value
latest_audit_timestamp,20260505_100958
git_commit,637443fd59b9d67cabce9248387a0550ef7faddc
git_branch,main
docker_image_tag,unknown
code_version,637443fd59b9
worker_state,standardization_completed
files_scanned,5066
rows_scanned,2598486
file_errors,0
unique_isolation_source_broad_values,43
noisy_isolation_source_broad_values,0
noisy_isolation_source_broad_rows,0
body_site_leakage_values,0
disease_leakage_values,0
raw_code_leakage_values,0
controlled_category_total_rows,7505
controlled_category_approved_rows,7399
controlled_category_duplicate_keys,0
controlled_category_conflict_keys,0
controlled_category_suspicious_rows,20
regression_status,passed
regression_tests_run,8
regression_tests_failed,0
