synonym,destination,proposed_value,skipped_reason
healthy people,Host_Health_State_SD,healthy/no disease reported,confidence is not high
other,Sample_Type_SD,metadata descriptor/non-source,metadata/admin descriptor should not become Sample_Type_SD
screening culture,Sample_Type_SD,surveillance sample,confidence is not high
surveillance,Sample_Type_SD,surveillance sample,confidence is not high
rectal swab,Sample_Type_SD,rectal swab,existing approved rule maps to rectal/perianal swab
marine sediment envo 03000033,Environment_Medium_SD,sediment,existing approved rule maps to marine sediment
cold water disease,Host_Health_State_SD,diseased,confidence is not high
disease,Host_Health_State_SD,diseased,confidence is not high
disease by infectious agent,Host_Health_State_SD,diseased,confidence is not high
legionaires disease,Host_Health_State_SD,diseased,confidence is not high
respiratory disease,Host_Health_State_SD,diseased,confidence is not high
diseased pig,Host_Health_State_SD,diseased,confidence is not high
parkinson disease,Host_Health_State_SD,diseased,confidence is not high
gastric disease,Host_Health_State_SD,diseased,confidence is not high
mucosal tissue from crohns disease patient,Host_Health_State_SD,diseased,confidence is not high
healthy dairy cow,Host_Health_State_SD,healthy/no disease reported,confidence is not high
lung disease,Host_Health_State_SD,diseased,confidence is not high
invasive disease,Host_Health_State_SD,diseased,confidence is not high
alcoholic liver disease,Host_Health_State_SD,diseased,confidence is not high
other,Sample_Type_SD,metadata descriptor/non-source,metadata/admin descriptor should not become Sample_Type_SD
clinically healthy pig,Host_Health_State_SD,healthy/no disease reported,confidence is not high
mass screening,Sample_Type_SD,surveillance sample,confidence is not high
healthy skin,Host_Health_State_SD,healthy/no disease reported,confidence is not high
peptic ulcer disease,Host_Health_State_SD,diseased,confidence is not high
dairy other animal,Sample_Type_SD,metadata descriptor/non-source,metadata/admin descriptor should not become Sample_Type_SD
south china sea sediment,Environment_Medium_SD,sediment,existing approved rule maps to marine sediment
human missing,Sample_Type_SD,metadata descriptor/non-source,metadata/admin descriptor should not become Sample_Type_SD
celiac disease,Host_Health_State_SD,diseased,confidence is not high
tonsil from healthy pig in slaughterhouse,Host_Health_State_SD,healthy/no disease reported,confidence is not high
sour skin disease,Host_Health_State_SD,diseased,confidence is not high
bovine respiratory disease,Host_Health_State_SD,diseased,confidence is not high
nontuberculous mycobacterial lung disease,Host_Health_State_SD,diseased,confidence is not high
alzheimer disease,Host_Health_State_SD,diseased,confidence is not high
bovine respiratory disease complex,Host_Health_State_SD,diseased,confidence is not high
cerebrovascular disease hemiplegia,Host_Health_State_SD,diseased,confidence is not high
disease in fish,Host_Health_State_SD,diseased,confidence is not high
anthrax disease,Host_Health_State_SD,diseased,confidence is not high
human missing,Sample_Type_SD,metadata descriptor/non-source,metadata/admin descriptor should not become Sample_Type_SD
healthy group,Host_Health_State_SD,healthy/no disease reported,confidence is not high
cold water disease,Host_Health_State_SD,diseased,confidence is not high
diseased tissue,Host_Health_State_SD,diseased,confidence is not high
diseased tissue,Host_Health_State_SD,diseased,confidence is not high
coronary artery disease,Host_Health_State_SD,diseased,confidence is not high
non progressive alcoholic liver disease,Host_Health_State_SD,diseased,confidence is not high
brucella disease,Host_Health_State_SD,diseased,confidence is not high
glasser s disease,Host_Health_State_SD,diseased,confidence is not high
