synonym,source_column,original_value,normalized_value,destination,category,proposed_value,broad_value,ontology_id,method,confidence,status,note
stool sample from asymptomatic human participant,Isolation Source,stool sample from asymptomatic human participant,stool sample from asymptomatic human participant,Sample_Type_SD,feces/stool,feces/stool,feces/stool,,batch5_high_confidence_audit_suggestion,high,approved,Batch 5 applied high-confidence source/sample/environment audit suggestion: fecal material
saline sediment environment,Environment (Local Scale),saline sediment environment,saline sediment environment,Environment_Medium_SD,sediment,sediment,sediment,,batch5_high_confidence_audit_suggestion,high,approved,Batch 5 applied high-confidence source/sample/environment audit suggestion: environmental medium
feces from domestic chicken,Isolation Source,feces from domestic chicken,feces from domestic chicken,Sample_Type_SD,feces/stool,feces/stool,feces/stool,,batch5_high_confidence_audit_suggestion,high,approved,Batch 5 applied high-confidence source/sample/environment audit suggestion: fecal material
hospital biome,Environment Medium,hospital biome,hospital biome,Isolation_Source_SD,healthcare facility,healthcare facility,healthcare facility,,batch5_high_confidence_audit_suggestion,high,approved,Batch 5 applied high-confidence source/sample/environment audit suggestion: healthcare-associated location
feces dairy cow,Isolation Source,feces dairy cow,feces dairy cow,Sample_Type_SD,feces/stool,feces/stool,feces/stool,,batch5_high_confidence_audit_suggestion,high,approved,Batch 5 applied high-confidence source/sample/environment audit suggestion: fecal material
anthropogenic environement envo 01000313 rhizosphere environment envo 01000999,Environment (Local Scale),anthropogenic environement envo 01000313 rhizosphere environment envo 01000999,anthropogenic environement envo 01000313 rhizosphere environment envo 01000999,Environment_Medium_SD,soil,soil,soil,,batch5_high_confidence_audit_suggestion,high,approved,Batch 5 applied high-confidence source/sample/environment audit suggestion: environmental medium
brachypodium rhizosphere enrichment,Environment (Local Scale),brachypodium rhizosphere enrichment,brachypodium rhizosphere enrichment,Environment_Medium_SD,soil,soil,soil,,batch5_high_confidence_audit_suggestion,high,approved,Batch 5 applied high-confidence source/sample/environment audit suggestion: environmental medium
hypersaline pond,Environment Medium,hypersaline pond,hypersaline pond,Environment_Medium_SD,pond water,pond water,pond water,,batch5_high_confidence_audit_suggestion,high,approved,Batch 5 applied high-confidence source/sample/environment audit suggestion: water type
lake washington,Isolation Site,lake washington,lake washington,Environment_Medium_SD,lake water,lake water,lake water,,batch5_high_confidence_audit_suggestion,high,approved,Batch 5 applied high-confidence source/sample/environment audit suggestion: water type
feces of homo sapiens,Isolation Source,feces of homo sapiens,feces of homo sapiens,Sample_Type_SD,feces/stool,feces/stool,feces/stool,,batch5_high_confidence_audit_suggestion,high,approved,Batch 5 applied high-confidence source/sample/environment audit suggestion: fecal material
urine colonization,Host Disease,urine colonization,urine colonization,Sample_Type_SD,urine,urine,urine,,batch5_high_confidence_audit_suggestion,high,approved,Batch 5 applied high-confidence source/sample/environment audit suggestion: clinical material
stool sample from patient with hemolytic uremic syndrome,Isolation Source,stool sample from patient with hemolytic uremic syndrome,stool sample from patient with hemolytic uremic syndrome,Sample_Type_SD,feces/stool,feces/stool,feces/stool,,batch5_high_confidence_audit_suggestion,high,approved,Batch 5 applied high-confidence source/sample/environment audit suggestion: fecal material
stool sample from septic human participant,Isolation Source,stool sample from septic human participant,stool sample from septic human participant,Sample_Type_SD,feces/stool,feces/stool,feces/stool,,batch5_high_confidence_audit_suggestion,high,approved,Batch 5 applied high-confidence source/sample/environment audit suggestion: fecal material
pond,Environment Medium,pond,pond,Environment_Medium_SD,pond water,pond water,pond water,,batch5_high_confidence_audit_suggestion,high,approved,Batch 5 applied high-confidence source/sample/environment audit suggestion: water type
saline lake,Sample Type,saline lake,saline lake,Environment_Medium_SD,lake water,lake water,lake water,,batch5_high_confidence_audit_suggestion,high,approved,Batch 5 applied high-confidence source/sample/environment audit suggestion: water type
plant rhizosphere,Environment (Local Scale),plant rhizosphere,plant rhizosphere,Environment_Medium_SD,soil,soil,soil,,batch5_high_confidence_audit_suggestion,high,approved,Batch 5 applied high-confidence source/sample/environment audit suggestion: environmental medium
