synonym,source_column,original_value,normalized_value,destination,category,proposed_value,broad_value,ontology_id,method,confidence,status,note
Environment,Host,Environment,environment,Isolation_Source_SD,environmental material,environmental material,environmental material,,batch4_source_like_unmapped_routing,high,approved,Batch 4 route from non-host Host value: environment/source context.
environmental sample,Host,environmental sample,environmental sample,Isolation_Source_SD,environmental material,environmental material,environmental material,,batch4_source_like_unmapped_routing,high,approved,Batch 4 route from non-host Host value: environment/source context.
Hospital environment,Host,Hospital environment,hospital environment,Isolation_Source_SD,healthcare facility,healthcare facility,healthcare-associated environment,,batch4_source_like_unmapped_routing,high,approved,Batch 4 route from non-host Host value: healthcare environment.
freshwater metagenome,Host,freshwater metagenome,freshwater metagenome,Environment_Medium_SD,freshwater,freshwater,environmental material,,batch4_source_like_unmapped_routing,high,approved,Batch 4 route from non-host Host value: freshwater source.
imported food,Host,imported food,imported food,Isolation_Source_SD,food/food product,food/food product,food,,batch4_source_like_unmapped_routing,high,approved,Batch 4 route from non-host Host value: food source.
"Poultry Environment, bootsock",Host,"Poultry Environment, bootsock",poultry environment bootsock,Isolation_Source_SD,environmental material,environmental material,environmental material,,batch4_source_like_unmapped_routing,high,approved,Batch 4 route from non-host Host value: environment/source context.
ICU environment,Host,ICU environment,icu environment,Isolation_Source_SD,healthcare facility,healthcare facility,healthcare-associated environment,,batch4_source_like_unmapped_routing,high,approved,Batch 4 route from non-host Host value: healthcare environment.
farm environment,Host,farm environment,farm environment,Isolation_Source_SD,environmental material,environmental material,environmental material,,batch4_source_like_unmapped_routing,high,approved,Batch 4 route from non-host Host value: environment/source context.
meat products,Host,meat products,meat products,Sample_Type_SD,meat product,meat product,food/meat,,batch4_source_like_unmapped_routing,high,approved,Batch 4 route from non-host Host value: meat/food source.
rain water,Host,rain water,rain water,Environment_Medium_SD,water,water,environmental material,,batch4_source_like_unmapped_routing,high,approved,Batch 4 route from non-host Host value: water source.
lamb offal or meat,Host,lamb offal or meat,lamb offal or meat,Sample_Type_SD,meat product,meat product,food/meat,,batch4_source_like_unmapped_routing,high,approved,Batch 4 route from non-host Host value: meat/food source.
"Poultry Environment, water",Host,"Poultry Environment, water",poultry environment water,Environment_Medium_SD,water,water,environmental material,,batch4_source_like_unmapped_routing,high,approved,Batch 4 route from non-host Host value: water source.
soil substrate,Host,soil substrate,soil substrate,Environment_Medium_SD,soil,soil,environmental material,,batch4_source_like_unmapped_routing,high,approved,Batch 4 route from non-host Host value: soil source.
industrial environment,Host,industrial environment,industrial environment,Isolation_Source_SD,environmental material,environmental material,environmental material,,batch4_source_like_unmapped_routing,high,approved,Batch 4 route from non-host Host value: environment/source context.
Storm water,Host,Storm water,storm water,Environment_Medium_SD,stormwater,stormwater,environmental material,,batch4_source_like_unmapped_routing,high,approved,Batch 4 route from non-host Host value: stormwater source.
pork offal or meat,Host,pork offal or meat,pork offal or meat,Sample_Type_SD,meat product,meat product,food/meat,,batch4_source_like_unmapped_routing,high,approved,Batch 4 route from non-host Host value: meat/food source.
Environment of nosocomial settings,Host,Environment of nosocomial settings,environment of nosocomial settings,Isolation_Source_SD,environmental material,environmental material,environmental material,,batch4_source_like_unmapped_routing,high,approved,Batch 4 route from non-host Host value: environment/source context.
Soil aggregate,Host,Soil aggregate,soil aggregate,Environment_Medium_SD,soil,soil,environmental material,,batch4_source_like_unmapped_routing,high,approved,Batch 4 route from non-host Host value: soil source.
seawater metagenome,Host,seawater metagenome,seawater metagenome,Environment_Medium_SD,seawater,seawater,environmental material,,batch4_source_like_unmapped_routing,high,approved,Batch 4 route from non-host Host value: marine water source.
sample from the maternity hospital,Host,sample from the maternity hospital,sample from the maternity hospital,Isolation_Source_SD,healthcare facility,healthcare facility,healthcare-associated environment,,batch4_source_like_unmapped_routing,high,approved,Batch 4 route from non-host Host value: healthcare environment.
