count,environment_medium_sd
39212,soil
30750,air
22887,wastewater
15186,water
12707,sediment
9370,seawater
6170,freshwater
5951,marine
5407,dairy food
4183,plant tissue
4141,river water
3919,manure
3758,environmental material
3011,sewage
2244,biofilm
2204,culture medium
2187,activated sludge
2116,estuarine water
2037,laboratory
1891,groundwater
1822,environmental water
1804,lake water
1445,surface water
1445,hospital wastewater
1337,marine sediment
1155,tidal flat sediment
1027,healthcare facility
990,pond water
955,sludge
912,hospital sewage
874,hot spring water
815,built-environment water
794,biological product
791,environmental sample
783,leachate
741,canal water
683,sea ice
616,biological waste material
447,subsurface shale
444,drinking/distribution water
415,spring water
414,glacier
384,built environment surface
377,dust
344,compost
305,water column
290,natural/free-living
253,brackish water
253,saline/brine water
242,irrigation water
225,chemically distinct water
215,agricultural/aquaculture water
179,cryoconite
146,metadata descriptor/non-source
106,surface/open water
101,geologic/produced water
94,produced water
89,agricultural/food-production water
86,Oyster pond
76,mud/sediment
51,drainage/runoff water
42,salt marsh sediment
29,domestic wastewater
27,mine water
23,food-processing water
22,cave/cryoconite water
21,pond sediment
20,ice water
14,drainage water
11,wastewater/sewage treatment plant
8,running water
6,land crag
6,water/sediment mixture
4,aquarium/aquaculture water
3,landfill/leachate water
3,retting water
2,mine tailings
1,healthcare facility surface
1,river sediment
1,microplastic/plastic
