metric,value
files_scanned,5066
rows_scanned,2596923
file_errors,0
missing_required_column_file_hits,0
host_original_present,1567493
host_sd_present,1559250
host_taxid_present,1557974
host_taxid_percent,59.99
host_context_recovered_rows,159330
host_review_needed_rows,1022
source_like_mapped_host_rows_for_review,18144
source_like_unmapped_host_rows_for_review,4448
sample_type_sd_present,1553730
sample_type_sd_percent,59.83
isolation_source_sd_present,1488231
isolation_source_sd_percent,57.31
environment_medium_sd_present,458473
environment_medium_sd_percent,17.65
country_present,2261186
country_percent,87.07
continent_present,2261878
subcontinent_present,2261878
country_continent_mismatch_rows,0
country_subcontinent_mismatch_rows,0
collection_year_present,2168791
collection_year_percent,83.51
