count,isolation_source_sd_broad
394429,clinical/host-associated material
252881,feces/stool
124846,food/meat
91452,gut content
46022,water
45245,environmental material
41725,metadata descriptor / non-source
37592,food
32671,upper respiratory tract
26804,soil
26345,healthcare-associated environment
24915,culture
19338,clinical fluid/material
17336,upper respiratory site
16965,plant-associated material
15848,food/dairy
15645,swab
14314,wastewater/sewage
12166,sediment
10866,whole organism
9361,body fluid
7154,tissue
6193,oral cavity
6127,urogenital site
5911,surface sample
5631,agricultural environment
4840,respiratory sample
4117,host-associated context
3841,urban
3622,laboratory environment
3473,environmental/geologic material
3213,single cell
3036,culture/isolate
2787,poultry
2597,built environment
2225,Oyster
2114,medical device
2011,leaf tissue
1981,marine
1833,food/produce
1752,sample
1677,agricultural fecal material
1519,biofilm
1449,spore release material
1307,vaginal site
1293,shrimp
1133,Citrus leaf
1096,Cheese rind
933,urogenital/gastrointestinal site
893,Marmota himalayana
774,metal
662,Physical
645,surface/sample collection material
622,aquatic food product
604,leachate
590,Aquatic products
589,animal tissue/site
542,Nottingham
536,cultured embryonic stem cells
532,pancreas
508,molecular extract
449,Agricultural
425,anthropogenic
411,gut/host-associated material
395,wastewater/organic waste
375,fish
371,rectal/cloacal/perianal swab
357,Meriones unguiculatus
335,fluff/lint material
311,Gastric
299,food/plant product
294,compost
291,dust
280,Římov reservoir
273,respiratory swab
272,Guyana
253,Buffy Coat
238,Whole polyp cell suspension neuron
211,Ruminal microbiome of Nelore
210,nodules
208,infection
208,China:Shenzhen
199,Breast
198,decomposed grub time point 2
198,patients
198,Southern Sea Otter
197,lesion
196,cxwnd
193,OT
188,Right-Popliteal-Fossa
187,digestive system
187,H�pitaux Universitaires - Henri Mondor
185,Layers
185,colon
185,South Tunisia
185,Non-CF Bronchiectasis
184,ENVO:00000114
182,Colon
180,SSTI
179,marine shellfish
178,recto-anal junction
178,mud
177,urea
177,retail deli
176,genital
174,Bovine hide
174,excreted bodily substance
173,rodent
170,host-associated
169,Perineum
168,surgical site
167,Inshell pistachio from a storage silo
166,cloaca
165,slurry
165,Extraintestinal sites
164,Western Australia
163,Chick paper
162,Community
159,ant-built patch
159,medical
